Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=major_elec_load_count,Dependency=panel_capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
single-family attached,4000+,1,<100,0.420107,0.120714,0.112155,0.092826,0.07212,0.053839,0.039099,0.027828,0.019504,0.013505,0.00926,0.006298,0.004254,0.002857,0.001909,0.00127,0.000842,0.000556,0.000366,0.000241,0.000158,0.000103,6.7e-05,4.4e-05,2.8e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06,1e-06
single-family attached,4000+,1,201+,0.467085,0.065286,0.070254,0.067346,0.060602,0.052398,0.044074,0.036332,0.029493,0.023652,0.018783,0.014796,0.011576,0.009005,0.00697,0.005371,0.004123,0.003155,0.002407,0.001831,0.001389,0.001052,0.000795,0.0006,0.000452,0.000339,0.000255,0.000191,0.000143,0.000107,8e-05,6e-05
single-family attached,4000+,1,200,0.37819,0.063026,0.07046,0.070171,0.065601,0.058927,0.051493,0.044099,0.03719,0.030986,0.025564,0.020921,0.017005,0.013742,0.01105,0.008847,0.007056,0.005609,0.004445,0.003513,0.00277,0.002179,0.00171,0.00134,0.001049,0.000819,0.000639,0.000498,0.000387,0.000301,0.000233,0.000181
single-family attached,4000+,1,126-199,0.490305,0.079719,0.08087,0.073082,0.061997,0.050533,0.040069,0.031139,0.023829,0.018015,0.013487,0.010015,0.007387,0.005417,0.003952,0.002871,0.002078,0.001499,0.001078,0.000773,0.000553,0.000395,0.000281,0.0002,0.000142,0.000101,7.1e-05,5e-05,3.6e-05,2.5e-05,1.8e-05,1.2e-05
single-family attached,4000+,1,125,0.490305,0.079719,0.08087,0.073082,0.061997,0.050533,0.040069,0.031139,0.023829,0.018015,0.013487,0.010015,0.007387,0.005417,0.003952,0.002871,0.002078,0.001499,0.001078,0.000773,0.000553,0.000395,0.000281,0.0002,0.000142,0.000101,7.1e-05,5e-05,3.6e-05,2.5e-05,1.8e-05,1.2e-05
single-family attached,4000+,1,101-124,0.490305,0.079719,0.08087,0.073082,0.061997,0.050533,0.040069,0.031139,0.023829,0.018015,0.013487,0.010015,0.007387,0.005417,0.003952,0.002871,0.002078,0.001499,0.001078,0.000773,0.000553,0.000395,0.000281,0.0002,0.000142,0.000101,7.1e-05,5e-05,3.6e-05,2.5e-05,1.8e-05,1.2e-05
single-family attached,4000+,1,100,0.420107,0.120714,0.112155,0.092826,0.07212,0.053839,0.039099,0.027828,0.019504,0.013505,0.00926,0.006298,0.004254,0.002857,0.001909,0.00127,0.000842,0.000556,0.000366,0.000241,0.000158,0.000103,6.7e-05,4.4e-05,2.8e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06,1e-06
single-family attached,4000+,0,<100,0.432164,0.111969,0.105979,0.089358,0.070727,0.053788,0.039794,0.028853,0.020601,0.014532,0.010151,0.007033,0.00484,0.003311,0.002254,0.001528,0.001032,0.000694,0.000466,0.000312,0.000208,0.000139,9.2e-05,6.1e-05,4e-05,2.7e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06
single-family attached,4000+,0,201+,0.485269,0.059122,0.064494,0.062674,0.057173,0.050112,0.042729,0.035707,0.029384,0.023888,0.019231,0.015357,0.01218,0.009605,0.007536,0.005887,0.004582,0.003554,0.002748,0.002119,0.00163,0.001251,0.000959,0.000733,0.00056,0.000427,0.000325,0.000247,0.000187,0.000142,0.000108,8.1e-05
single-family attached,4000+,0,200,0.395191,0.057313,0.064862,0.065391,0.061885,0.056274,0.04978,0.043157,0.036844,0.031075,0.025954,0.021501,0.017692,0.014474,0.011782,0.009549,0.007709,0.006204,0.004977,0.003982,0.003178,0.002531,0.002011,0.001596,0.001264,0.000999,0.000789,0.000622,0.00049,0.000385,0.000303,0.000238
single-family attached,4000+,0,126-199,0.507297,0.072565,0.074778,0.068646,0.059155,0.04898,0.039452,0.031144,0.024211,0.018593,0.01414,0.010667,0.007992,0.005953,0.004412,0.003256,0.002394,0.001754,0.001281,0.000933,0.000678,0.000492,0.000356,0.000257,0.000185,0.000134,9.6e-05,6.9e-05,4.9e-05,3.5e-05,2.5e-05,1.8e-05
single-family attached,4000+,0,125,0.507297,0.072565,0.074778,0.068646,0.059155,0.04898,0.039452,0.031144,0.024211,0.018593,0.01414,0.010667,0.007992,0.005953,0.004412,0.003256,0.002394,0.001754,0.001281,0.000933,0.000678,0.000492,0.000356,0.000257,0.000185,0.000134,9.6e-05,6.9e-05,4.9e-05,3.5e-05,2.5e-05,1.8e-05
single-family attached,4000+,0,101-124,0.507297,0.072565,0.074778,0.068646,0.059155,0.04898,0.039452,0.031144,0.024211,0.018593,0.01414,0.010667,0.007992,0.005953,0.004412,0.003256,0.002394,0.001754,0.001281,0.000933,0.000678,0.000492,0.000356,0.000257,0.000185,0.000134,9.6e-05,6.9e-05,4.9e-05,3.5e-05,2.5e-05,1.8e-05
single-family attached,4000+,0,100,0.432164,0.111969,0.105979,0.089358,0.070727,0.053788,0.039794,0.028853,0.020601,0.014532,0.010151,0.007033,0.00484,0.003311,0.002254,0.001528,0.001032,0.000694,0.000466,0.000312,0.000208,0.000139,9.2e-05,6.1e-05,4e-05,2.7e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06
single-family attached,3000-3999,7,<100,0.271491,0.176766,0.154916,0.120945,0.088637,0.062415,0.042757,0.028705,0.018977,0.012395,0.008017,0.005143,0.003277,0.002076,0.001309,0.000821,0.000514,0.00032,0.000199,0.000123,7.6e-05,4.7e-05,2.9e-05,1.8e-05,1.1e-05,7e-06,4e-06,2e-06,2e-06,1e-06,1e-06,0.0
single-family attached,3000-3999,7,201+,0.252633,0.110091,0.113443,0.104136,0.089734,0.074295,0.059842,0.047238,0.036719,0.028199,0.021444,0.016175,0.012119,0.009027,0.006691,0.004937,0.00363,0.002659,0.001942,0.001415,0.001028,0.000746,0.00054,0.00039,0.000281,0.000202,0.000145,0.000104,7.5e-05,5.4e-05,3.8e-05,2.7e-05
single-family attached,3000-3999,7,200,0.195397,0.098954,0.106393,0.101903,0.091622,0.079152,0.06652,0.054789,0.044438,0.035608,0.028253,0.022237,0.017383,0.01351,0.010448,0.008045,0.006171,0.004717,0.003595,0.002733,0.002072,0.001568,0.001184,0.000892,0.000671,0.000504,0.000378,0.000283,0.000212,0.000158,0.000118,8.8e-05
single-family attached,3000-3999,7,126-199,0.281916,0.133261,0.128634,0.110611,0.089286,0.069249,0.052249,0.038636,0.028133,0.020238,0.014417,0.010187,0.00715,0.004989,0.003464,0.002394,0.001649,0.001132,0.000774,0.000528,0.00036,0.000244,0.000166,0.000112,7.6e-05,5.1e-05,3.4e-05,2.3e-05,1.6e-05,1e-05,7e-06,5e-06
single-family attached,3000-3999,7,125,0.281916,0.133261,0.128634,0.110611,0.089286,0.069249,0.052249,0.038636,0.028133,0.020238,0.014417,0.010187,0.00715,0.004989,0.003464,0.002394,0.001649,0.001132,0.000774,0.000528,0.00036,0.000244,0.000166,0.000112,7.6e-05,5.1e-05,3.4e-05,2.3e-05,1.6e-05,1e-05,7e-06,5e-06
single-family attached,3000-3999,7,101-124,0.281916,0.133261,0.128634,0.110611,0.089286,0.069249,0.052249,0.038636,0.028133,0.020238,0.014417,0.010187,0.00715,0.004989,0.003464,0.002394,0.001649,0.001132,0.000774,0.000528,0.00036,0.000244,0.000166,0.000112,7.6e-05,5.1e-05,3.4e-05,2.3e-05,1.6e-05,1e-05,7e-06,5e-06
single-family attached,3000-3999,7,100,0.271491,0.176766,0.154916,0.120945,0.088637,0.062415,0.042757,0.028705,0.018977,0.012395,0.008017,0.005143,0.003277,0.002076,0.001309,0.000821,0.000514,0.00032,0.000199,0.000123,7.6e-05,4.7e-05,2.9e-05,1.8e-05,1.1e-05,7e-06,4e-06,2e-06,2e-06,1e-06,1e-06,0.0
single-family attached,3000-3999,6,<100,0.271342,0.168073,0.150324,0.11977,0.089579,0.064375,0.045005,0.030835,0.020804,0.013867,0.009153,0.005993,0.003897,0.002519,0.001621,0.001038,0.000662,0.000421,0.000267,0.000169,0.000107,6.7e-05,4.2e-05,2.6e-05,1.7e-05,1e-05,6e-06,4e-06,2e-06,2e-06,1e-06,1e-06
single-family attached,3000-3999,6,201+,0.259787,0.10256,0.107297,0.099999,0.087486,0.073541,0.060139,0.048198,0.038038,0.029658,0.022898,0.017536,0.013339,0.010088,0.007591,0.005687,0.004245,0.003158,0.002342,0.001732,0.001278,0.000941,0.000691,0.000507,0.000371,0.000271,0.000198,0.000144,0.000105,7.6e-05,5.5e-05,4e-05
single-family attached,3000-3999,6,200,0.200503,0.092194,0.10049,0.097573,0.088936,0.077889,0.06636,0.055409,0.045559,0.037009,0.029769,0.023753,0.018824,0.014831,0.011627,0.009076,0.007058,0.00547,0.004226,0.003256,0.002503,0.00192,0.00147,0.001123,0.000856,0.000652,0.000496,0.000377,0.000286,0.000216,0.000164,0.000124
