Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	sampling_probability
ME	Natural Gas	0	0	0	0	0	0	0	0	0	0.298824	0.607284	0.0938921	0	0	0	0	0	0	0	0	0	0	0	0	26	78050.6	0.00038706
ME	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	1320.17	1.16678e-06
ME	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10829	0.344522	0.547188	0	0	0	0	0	0	0	0	37	80708.9	0.00066162
ME	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	6487.12	4.424e-05
ME	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	8176.14	8.71239e-05
MI	Electricity	0.005	0	0	0.101905	0.862464	0.0306308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	1.07072e+06	0.0100471
MI	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	33615	0.000129002
MI	Natural Gas	0	0	0	0	0	0	0	0	0	0.138577	0.814032	0.0473913	0	0	0	0	0	0	0	0	0	0	0	0	263	2.6025e+06	0.0217231
MI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	7.90641e-06
MI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331424	0.619162	0.0494136	0	0	0	0	0	0	0	0	20	206376	0.00197648
MI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.33014e-05
MI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	5706.89	6.50735e-06
MN	Electricity	0.005	0	0	0.214796	0.736527	0.0436775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	832059	0.00699067
MN	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	1.91956e-05
MN	Natural Gas	0	0	0	0	0	0	0	0	0	0.143216	0.771212	0.0855721	0	0	0	0	0	0	0	0	0	0	0	0	198	1.32387e+06	0.0100865
MN	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	7.13729e-07
MN	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110674	0.787759	0.101567	0	0	0	0	0	0	0	0	10	66543.2	0.000643292
MN	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.98486e-06
MN	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	7312.33	3.27738e-05
MO	Electricity	0.005	0	0	0.116528	0.816381	0.062091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	1.14017e+06	0.0106828
MO	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	2.24833e-06
MO	Natural Gas	0	0	0	0	0	0	0	0	0	0.132219	0.822102	0.0456791	0	0	0	0	0	0	0	0	0	0	0	0	155	1.2211e+06	0.00871694
MO	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	2.09601e-07
MO	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885494	0.798514	0.112936	0	0	0	0	0	0	0	0	96	68550.4	0.000973208
MO	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.35758e-06
MO	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	5.3396e-05
MS	Electricity	0.005	0	0	0.186367	0.79507	0.0135636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	703896	0.00614306
MS	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2.29768e-06
MS	Natural Gas	0	0	0	0	0	0	0	0	0	0.0509534	0.868416	0.0806306	0	0	0	0	0	0	0	0	0	0	0	0	53	309113	0.00270405
MS	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
MS	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263551	0.331757	0.404692	0	0	0	0	0	0	0	0	12	71525.3	0.000812237
MS	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.83693e-07
MS	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	1.75095e-07
MT	Electricity	0.005	0	0	0.165579	0.783072	0.0463494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	179134	0.00166879
MT	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	4652.03	1.67888e-05
MT	Natural Gas	0	0	0	0	0	0	0	0	0	0.200749	0.661464	0.137786	0	0	0	0	0	0	0	0	0	0	0	0	95	224735	0.00171203
MT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	6.76473e-07
MT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	40	21530.6	0.000237743
MT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	61	3277.45	2.9891e-05
MT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	1.65785e-08
